epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,3028.98,0.62486,0.58302,0.95823,0.93239,0.92013,0.9777,0.56348,1.4843,0.89026,1.4058,0.0004754,0.0004754,0.0004754
156,3047.94,0.62421,0.56181,0.95417,0.99389,0.86667,0.97333,0.56269,1.48615,0.88167,1.40897,0.0004655,0.0004655,0.0004655
157,3068.16,0.53186,0.49973,0.90939,0.99253,0.86667,0.97625,0.54505,1.49593,0.87483,1.43053,0.0004556,0.0004556,0.0004556
158,3087.15,0.56211,0.46435,0.90474,0.98873,0.86667,0.92427,0.54737,1.52796,0.86212,1.45787,0.0004457,0.0004457,0.0004457
159,3106.63,0.62361,0.58647,0.93935,0.91983,0.86667,0.91006,0.52601,1.51169,0.82551,1.44174,0.0004358,0.0004358,0.0004358
160,3125.58,0.54934,0.49179,0.92154,0.93245,0.92093,0.91883,0.5185,1.5283,0.8191,1.44437,0.0004259,0.0004259,0.0004259
161,3144.36,0.569,0.50928,0.90097,0.84843,0.8,0.84854,0.50857,1.5533,0.82402,1.45632,0.000416,0.000416,0.000416
162,3163.14,0.52773,0.61287,0.9209,0.85939,0.81576,0.86449,0.51212,1.57328,0.82997,1.46128,0.0004061,0.0004061,0.0004061
163,3182.75,0.5925,0.50199,0.91471,0.82265,0.86667,0.85351,0.49788,1.58552,0.85278,1.46162,0.0003962,0.0003962,0.0003962
164,3202.16,0.50873,0.46372,0.89327,0.79097,0.86667,0.84656,0.49481,1.59145,0.86674,1.46171,0.0003863,0.0003863,0.0003863
165,3221.86,0.65728,0.57302,0.96954,0.9218,0.78675,0.85751,0.50447,1.58207,0.84935,1.46765,0.0003764,0.0003764,0.0003764
166,3240.51,0.60616,0.52059,0.92563,0.86193,0.93333,0.91106,0.5132,1.56379,0.83095,1.46228,0.0003665,0.0003665,0.0003665
167,3259.23,0.6304,0.57962,1.03732,0.86378,0.93333,0.91173,0.51756,1.55327,0.81048,1.46465,0.0003566,0.0003566,0.0003566
168,3278.27,0.51371,0.42843,0.8946,0.86357,0.93333,0.91106,0.51082,1.52871,0.80427,1.45605,0.0003467,0.0003467,0.0003467
169,3298.18,0.5343,0.49516,0.90696,0.9247,0.93333,0.924,0.53103,1.52324,0.80922,1.4484,0.0003368,0.0003368,0.0003368
170,3318.72,0.51721,0.42996,0.92044,0.86597,0.86176,0.883,0.5319,1.52108,0.80452,1.44339,0.0003269,0.0003269,0.0003269
171,3337.78,0.62445,0.54658,0.96914,0.80435,0.86667,0.88835,0.5326,1.5107,0.80495,1.42791,0.000317,0.000317,0.000317
172,3357.72,0.52575,0.47629,0.90517,0.80982,0.85239,0.8913,0.55322,1.49752,0.81475,1.40767,0.0003071,0.0003071,0.0003071
173,3376.58,0.52733,0.44183,0.93273,0.74273,0.86667,0.89208,0.55283,1.45259,0.83233,1.3636,0.0002972,0.0002972,0.0002972
174,3395.66,0.69798,0.55431,1.03403,0.84665,0.8,0.90295,0.55778,1.45286,0.85404,1.35027,0.0002873,0.0002873,0.0002873
175,3415.15,0.58718,0.5108,0.92344,0.8996,0.8,0.90083,0.56467,1.44448,0.87586,1.33675,0.0002774,0.0002774,0.0002774
176,3433.98,0.50661,0.44506,0.89242,0.86753,0.8,0.89755,0.56942,1.44147,0.88201,1.32685,0.0002675,0.0002675,0.0002675
177,3452.82,0.56469,0.47886,0.94036,0.86956,0.8,0.89328,0.57441,1.44087,0.88872,1.32081,0.0002576,0.0002576,0.0002576
178,3471.95,0.58129,0.53211,0.93731,0.87454,0.8,0.88818,0.57649,1.43104,0.88192,1.31406,0.0002477,0.0002477,0.0002477
179,3490.76,0.53724,0.48335,0.90481,0.88267,0.8,0.89132,0.57123,1.41904,0.87174,1.30583,0.0002378,0.0002378,0.0002378
180,3509.66,0.51508,0.52908,0.90866,0.8507,0.8,0.89762,0.57988,1.42162,0.863,1.3007,0.0002279,0.0002279,0.0002279
181,3528.54,0.53425,0.48775,0.89231,0.84509,0.8,0.89025,0.57813,1.41374,0.84826,1.29249,0.000218,0.000218,0.000218
